idx,sentenceID,punType,sentenceType,ambiguity,distinctiveness,sentence
0,198,identical,nonpun,2.90E-10,6.729836651,"We #allowed our son to use the family car."
1,133,identical,nonpun,1.29E-11,7.178779049,"The student read her poem #aloud in class."
2,219,identical,nonpun,2.34E-13,6.529495152,"I will #be okay; don't worry."
3,49,identical,pun,0.634978882,7.993439904,"You don't want to #bee around a hive for too long."
4,112,identical,nonpun,1.23E-09,7.147570187,"The old man is alone all the time and is #bored to tears."
5,136,identical,nonpun,3.65E-08,7.467477584,"#Cached copies of the web pages are stored in the database."
6,193,identical,nonpun,9.33E-07,8.02303172,"The #caller on the phone is from your bank."
7,201,identical,nonpun,9.44E-09,8.743633256,"She bought stocks for ten years and then #cashed in her chips."
8,116,identical,nonpun,1.16E-13,8.304437882,"I bought a new #CD today in classical music."
9,11,identical,pun,2.48E-08,7.850903091,"Some music stores are in a #CD part of town."
10,216,identical,nonpun,8.47E-08,7.318484428,"He is so stingy that he would not even let me borrow a #cent."
11,217,identical,nonpun,6.94E-07,6.712871415,"You have very #coarse hair."
12,128,identical,nonpun,3.15E-07,7.938250452,"He puts a #collar on his dog before walking it."
13,152,identical,nonpun,1.10E-09,7.483180724,"I took a #course in school."
14,190,identical,nonpun,1.47E-08,6.613464059,"I do not give a #damn what you say."
15,187,identical,nonpun,4.74E-15,8.48504689,"There are seven #days in a week."
16,218,identical,nonpun,1.24E-12,7.275976535,"You're such a #dear friend."
17,153,identical,nonpun,0.004524276,7.418010564,"There are #deer in the forest."
18,195,identical,nonpun,1.25E-10,8.180314451,"He is very scared that he will #die of a heart attack. "
19,206,identical,nonpun,1.89E-07,6.518210159,"It is better to #err on the side of being too safe."
20,44,identical,pun,0.365828453,8.611571765,"I'm blind so #eye can't see."
21,149,identical,nonpun,2.25E-05,7.31888972,"I was poked in the #eye."
22,222,identical,nonpun,1.48E-07,7.593336258,"The rules of this game are not #fair."
23,157,identical,nonpun,0.000107373,6.818204304,"The #fare had to be paid."
24,197,identical,nonpun,4.35E-06,6.538724564,"Passing that exam without studying was a real #feat!"
25,132,identical,nonpun,6.02E-11,7.839321658,"These new shoes are hurting my #feet."
26,221,identical,nonpun,6.49E-14,9.58400119,"I picked some pretty #flowers that were growing among weeds."
27,148,identical,nonpun,7.15E-08,8.368420228,"A #grader was hired to score all of the tests."
28,178,identical,nonpun,0.01310923,6.771954693,"There was too much #grease on the plate."
29,113,identical,nonpun,2.48E-09,8.519314875,"#Greece is a country in the the southern portion of Europe."
30,205,identical,nonpun,3.33E-12,8.268064109,"A jury decides the #guilt or innocence of an accused person."
31,182,identical,nonpun,9.47E-11,8.382436978,"Most people have lots of #hair on their heads."
32,117,identical,nonpun,1.44E-05,7.252783957,"The #hare ran rapidly through the fields."
33,223,identical,nonpun,1.31E-11,7.699408261,"It just takes time for wounds to #heal."
34,141,identical,nonpun,1.94E-09,9.392283936,"Prince William is #heir to the british throne."
35,21,identical,pun,0.001587939,7.116409548,"My computer is so slow it #hertz."
36,126,identical,nonpun,5.23E-08,8.027658484,"This computer has a processing speed of thirty-three mega #hertz."
37,121,identical,nonpun,3.78E-06,7.59264544,"He waved at me to say #hi."
38,186,identical,nonpun,3.09E-12,7.182259171,"The statue is ten feet #high."
39,224,identical,nonpun,4.61E-14,6.58713648,"John likes Sarah but she doesn't like #him back."
40,191,identical,nonpun,1.96E-10,7.562950579,"I fell and now my leg #hurts."
41,214,identical,nonpun,9.31E-11,6.631140566,"#I don't know the answer."
42,227,identical,nonpun,3.53E-09,7.095135399,"You're just sitting there doing nothing; don't be #idle."
43,162,identical,nonpun,1.72E-07,8.513244827,"That famous movie star is my #idol."
