homophoneID,version,m1,m2,m1Prob,m2Prob
1,a,lion,line,9.62E-06,0.000191121
2,a,tooth,truth,5.14E-06,6.39E-05
3,a,cilia,sillier,2.93E-07,1.14E-07
4,a,heir,hair,7.75E-06,0.000109799
5,a,clothing,closing,1.72E-05,2.10E-05
6,a,ambiance,ambulance,9.75E-08,1.32E-05
7,a,perches,purchase,3.33E-07,3.52E-05
8,a,reword,reward,1.63E-08,1.57E-05
9,a,math,mass,2.60E-07,5.72E-05
10,a,stealer,steeler,2.52E-07,8.13E-09
11,a,wicker,wicked,1.68E-06,8.35E-06
12,a,spatial,special,9.84E-06,0.00017588
13,a,whirled,world,1.55E-06,0.000462761
14,a,caesars,scissors,1.71E-07,3.42E-06
15,a,launch,lunch,2.52E-05,4.11E-05
16,a,bloom,blue,4.41E-06,8.10E-05
17,a,flea,free,1.44E-06,0.000165263
18,a,fillings,feelings,1.15E-06,4.16E-05
19,a,salivation,salvation,1.71E-07,8.80E-06
20,a,orifice,office,4.31E-07,0.000198576
21,a,braille,bail,1.03E-06,8.10E-06
22,a,sperm,spur,3.45E-06,3.79E-06
23,a,grime,crime,9.59E-07,5.57E-05
24,a,epoch,pock,1.39E-06,4.06E-08
25,a,bonus,bones,1.11E-05,1.78E-05
26,a,hobbit,habit,4.71E-07,1.77E-05
27,a,screaming,screening,1.09E-05,1.02E-05
28,a,ohms,Holmes,6.18E-07,8.13E-09
29,a,kant,can't,1.91E-06,4.88E-07
30,a,tamper,temper,4.23E-07,9.72E-06
31,a,latte,late,8.13E-09,0.000157232
32,a,libel,liable,6.37E-06,1.75E-05
33,a,tryst,twist,2.28E-07,9.28E-06
34,a,propane,profane,3.98E-07,6.99E-07
35,a,leafing,leaving,4.15E-07,7.66E-05
36,a,yams,Lambs,1.79E-07,8.13E-09
37,a,tolkien,talking,3.53E-06,0.000103068
38,a,magnate,magnet,1.27E-06,2.57E-06
39,a,raven,raving,1.59E-06,1.41E-06
40,a,alkaline,alcohol,2.69E-06,2.43E-05
41,a,shave,slave,2.55E-06,7.12E-06
42,a,aiken,aching,2.68E-07,3.58E-06
43,a,irrigation,irritation,2.22E-06,5.19E-06
44,a,auntie,ante,5.16E-06,1.32E-06
45,a,fuchsia,future,4.06E-07,0.000179529
46,a,till,tell,4.30E-05,0.00023301
47,a,house,how's,0.000395396,3.25E-08
48,a,eire,fire,1.29E-06,0.000109181
49,a,alp,help,1.09E-06,0.000298051
50,a,garden,guarding,8.72E-05,2.41E-06
51,a,bean,been,4.21E-06,0.002094361
52,a,odor,order,8.13E-09,0.000271477
53,a,watt,lot,5.20E-06,0.000223117
54,a,pest,best,3.91E-06,0.000281825
55,a,crank,crack,7.72E-07,1.41E-05
56,a,leg,lag,4.09E-05,2.66E-06
57,a,decade,decay,2.98E-05,8.29E-06
58,a,dramatic,traumatic,3.08E-05,3.61E-06
59,a,grammatic,traumatic,4.06E-08,3.61E-06
60,a,hosta,hostile,1.63E-07,1.30E-05
61,a,dublin,doubling,1.86E-05,4.03E-06
62,a,prism,prison,6.18E-07,4.94E-05
63,a,fridge,bridge,7.28E-06,5.13E-05
64,a,thief,chief,5.80E-06,8.91E-05
65,a,revolution,resolution,3.69E-05,2.91E-05
66,a,plants,Pants,5.80E-05,8.13E-09
67,a,incisor,insider,4.23E-07,6.45E-06
68,a,mimes,minds,1.95E-07,2.27E-05
69,a,glittering,littering,5.01E-06,3.41E-07
70,a,altitude,attitude,3.98E-06,4.75E-05
71,a,presence,presents,6.32E-05,1.97E-05
72,a,necks,next,3.32E-06,0.000362554
73,a,digestion,destruction,3.72E-06,1.86E-05
74,a,ream,cream,8.94E-08,2.53E-05
75,a,seize,see,4.63E-06,0.000923319
76,a,author,offer,3.47E-05,0.000125992
77,a,source,sauce,7.21E-05,1.10E-05
78,a,paste,pays,3.65E-06,1.18E-05
79,a,espresso,express,2.03E-07,3.90E-05
80,a,scents,sense,1.62E-06,0.000171677
1,b,line,lion,0.000191121,9.62E-06
2,b,truth,tooth,6.39E-05,5.14E-06
3,b,sillier,cilia,1.14E-07,2.93E-07
4,b,hair,heir,0.000109799,7.75E-06
5,b,closing,clothing,2.10E-05,1.72E-05
6,b,ambulance,ambiance,1.32E-05,9.75E-08
7,b,purchase,perches,3.52E-05,3.33E-07
8,b,reward,reword,1.57E-05,1.63E-08
9,b,mass,math,5.72E-05,2.60E-07
10,b,steeler,stealer,8.13E-09,2.52E-07
11,b,wicked,wicker,8.35E-06,1.68E-06
12,b,special,spatial,0.00017588,9.84E-06
13,b,world,whirled,0.000462761,1.55E-06
14,b,scissors,caesars,3.42E-06,1.71E-07
15,b,lunch,launch,4.11E-05,2.52E-05
16,b,blue,bloom,8.10E-05,4.41E-06
17,b,free,flea,0.000165263,1.44E-06
18,b,feelings,fillings,4.16E-05,1.15E-06
19,b,salvation,salivation,8.80E-06,1.71E-07
20,b,office,orifice,0.000198576,4.31E-07
21,b,bail,braille,8.10E-06,1.03E-06
22,b,spur,sperm,3.79E-06,3.45E-06
23,b,crime,grime,5.57E-05,9.59E-07
24,b,pock,epoch,4.06E-08,1.39E-06
25,b,bones,bonus,1.78E-05,1.11E-05
26,b,habit,hobbit,1.77E-05,4.71E-07
27,b,screening,screaming,1.02E-05,1.09E-05
28,b,Holmes,ohms,8.13E-09,6.18E-07
29,b,can't,kant,4.88E-07,1.91E-06
30,b,temper,tamper,9.72E-06,4.23E-07
31,b,late,latte,0.000157232,8.13E-09
32,b,liable,libel,1.75E-05,6.37E-06
33,b,twist,tryst,9.28E-06,2.28E-07
34,b,profane,propane,6.99E-07,3.98E-07
35,b,leaving,leafing,7.66E-05,4.15E-07
36,b,Lambs,yams,8.13E-09,1.79E-07
37,b,talking,tolkien,0.000103068,3.53E-06
38,b,magnet,magnate,2.57E-06,1.27E-06
39,b,raving,raven,1.41E-06,1.59E-06
40,b,alcohol,alkaline,2.43E-05,2.69E-06
41,b,slave,shave,7.12E-06,2.55E-06
42,b,aching,aiken,3.58E-06,2.68E-07
43,b,irritation,irrigation,5.19E-06,2.22E-06
44,b,ante,auntie,1.32E-06,5.16E-06
45,b,future,fuchsia,0.000179529,4.06E-07
46,b,tell,till,0.00023301,4.30E-05
47,b,how's,house,3.25E-08,0.000395396
48,b,fire,eire,0.000109181,1.29E-06
49,b,help,alp,0.000298051,1.09E-06
50,b,guarding,garden,2.41E-06,8.72E-05
51,b,been,bean,0.002094361,4.21E-06
52,b,order,odor,0.000271477,8.13E-09
53,b,lot,watt,0.000223117,5.20E-06
54,b,best,pest,0.000281825,3.91E-06
55,b,crack,crank,1.41E-05,7.72E-07
56,b,lag,leg,2.66E-06,4.09E-05
57,b,decay,decade,8.29E-06,2.98E-05
58,b,traumatic,dramatic,3.61E-06,3.08E-05
59,b,traumatic,grammatic,3.61E-06,4.06E-08
60,b,hostile,hosta,1.30E-05,1.63E-07
61,b,doubling,dublin,4.03E-06,1.86E-05
62,b,prison,prism,4.94E-05,6.18E-07
63,b,bridge,fridge,5.13E-05,7.28E-06
64,b,chief,thief,8.91E-05,5.80E-06
65,b,resolution,revolution,2.91E-05,3.69E-05
66,b,Pants,plants,8.13E-09,5.80E-05
67,b,insider,incisor,6.45E-06,4.23E-07
68,b,minds,mimes,2.27E-05,1.95E-07
69,b,littering,glittering,3.41E-07,5.01E-06
70,b,attitude,altitude,4.75E-05,3.98E-06
71,b,presents,presence,1.97E-05,6.32E-05
72,b,next,necks,0.000362554,3.32E-06
73,b,destruction,digestion,1.86E-05,3.72E-06
74,b,cream,ream,2.53E-05,8.94E-08
75,b,see,seize,0.000923319,4.63E-06
76,b,offer,author,0.000125992,3.47E-05
77,b,sauce,source,1.10E-05,7.21E-05
78,b,pays,paste,1.18E-05,3.65E-06
79,b,express,espresso,3.90E-05,2.03E-07
80,b,sense,scents,0.000171677,1.62E-06
1,a,lion,line,9.62E-06,0.000191121
2,a,tooth,truth,5.14E-06,6.39E-05
3,a,cilia,sillier,2.93E-07,1.14E-07
4,a,heir,hair,7.75E-06,0.000109799
5,a,clothing,closing,1.72E-05,2.10E-05
6,a,ambiance,ambulance,9.75E-08,1.32E-05
7,a,perches,purchase,3.33E-07,3.52E-05
8,a,reword,reward,1.63E-08,1.57E-05
9,a,math,mass,2.60E-07,5.72E-05
10,a,stealer,steeler,2.52E-07,8.13E-09
11,a,wicker,wicked,1.68E-06,8.35E-06
12,a,spatial,special,9.84E-06,0.00017588
13,a,whirled,world,1.55E-06,0.000462761
14,a,caesars,scissors,1.71E-07,3.42E-06
15,a,launch,lunch,2.52E-05,4.11E-05
16,a,bloom,blue,4.41E-06,8.10E-05
17,a,flea,free,1.44E-06,0.000165263
18,a,fillings,feelings,1.15E-06,4.16E-05
19,a,salivation,salvation,1.71E-07,8.80E-06
20,a,orifice,office,4.31E-07,0.000198576
21,a,braille,bail,1.03E-06,8.10E-06
22,a,sperm,spur,3.45E-06,3.79E-06
23,a,grime,crime,9.59E-07,5.57E-05
24,a,epoch,pock,1.39E-06,4.06E-08
25,a,bonus,bones,1.11E-05,1.78E-05
26,a,hobbit,habit,4.71E-07,1.77E-05
27,a,screaming,screening,1.09E-05,1.02E-05
28,a,ohms,Holmes,6.18E-07,8.13E-09
29,a,kant,can't,1.91E-06,4.88E-07
30,a,tamper,temper,4.23E-07,9.72E-06
31,a,latte,late,8.13E-09,0.000157232
32,a,libel,liable,6.37E-06,1.75E-05
33,a,tryst,twist,2.28E-07,9.28E-06
34,a,propane,profane,3.98E-07,6.99E-07
35,a,leafing,leaving,4.15E-07,7.66E-05
36,a,yams,Lambs,1.79E-07,8.13E-09
37,a,tolkien,talking,3.53E-06,0.000103068
38,a,magnate,magnet,1.27E-06,2.57E-06
39,a,raven,raving,1.59E-06,1.41E-06
40,a,alkaline,alcohol,2.69E-06,2.43E-05
41,a,shave,slave,2.55E-06,7.12E-06
42,a,aiken,aching,2.68E-07,3.58E-06
43,a,irrigation,irritation,2.22E-06,5.19E-06
44,a,auntie,ante,5.16E-06,1.32E-06
45,a,fuchsia,future,4.06E-07,0.000179529
46,a,till,tell,4.30E-05,0.00023301
47,a,house,how's,0.000395396,3.25E-08
48,a,eire,fire,1.29E-06,0.000109181
49,a,alp,help,1.09E-06,0.000298051
50,a,garden,guarding,8.72E-05,2.41E-06
51,a,bean,been,4.21E-06,0.002094361
52,a,odor,order,8.13E-09,0.000271477
53,a,watt,lot,5.20E-06,0.000223117
54,a,pest,best,3.91E-06,0.000281825
55,a,crank,crack,7.72E-07,1.41E-05
56,a,leg,lag,4.09E-05,2.66E-06
57,a,decade,decay,2.98E-05,8.29E-06
58,a,dramatic,traumatic,3.08E-05,3.61E-06
59,a,grammatic,traumatic,4.06E-08,3.61E-06
60,a,hosta,hostile,1.63E-07,1.30E-05
61,a,dublin,doubling,1.86E-05,4.03E-06
62,a,prism,prison,6.18E-07,4.94E-05
63,a,fridge,bridge,7.28E-06,5.13E-05
64,a,thief,chief,5.80E-06,8.91E-05
65,a,revolution,resolution,3.69E-05,2.91E-05
66,a,plants,Pants,5.80E-05,8.13E-09
67,a,incisor,insider,4.23E-07,6.45E-06
68,a,mimes,minds,1.95E-07,2.27E-05
69,a,glittering,littering,5.01E-06,3.41E-07
70,a,altitude,attitude,3.98E-06,4.75E-05
71,a,presence,presents,6.32E-05,1.97E-05
72,a,necks,next,3.32E-06,0.000362554
73,a,digestion,destruction,3.72E-06,1.86E-05
74,a,ream,cream,8.94E-08,2.53E-05
75,a,seize,see,4.63E-06,0.000923319
76,a,author,offer,3.47E-05,0.000125992
77,a,source,sauce,7.21E-05,1.10E-05
78,a,paste,pays,3.65E-06,1.18E-05
79,a,espresso,express,2.03E-07,3.90E-05
80,a,scents,sense,1.62E-06,0.000171677
1,b,line,lion,0.000191121,9.62E-06
2,b,truth,tooth,6.39E-05,5.14E-06
3,b,sillier,cilia,1.14E-07,2.93E-07
4,b,hair,heir,0.000109799,7.75E-06
5,b,closing,clothing,2.10E-05,1.72E-05
6,b,ambulance,ambiance,1.32E-05,9.75E-08
7,b,purchase,perches,3.52E-05,3.33E-07
8,b,reward,reword,1.57E-05,1.63E-08
9,b,mass,math,5.72E-05,2.60E-07
10,b,steeler,stealer,8.13E-09,2.52E-07
11,b,wicked,wicker,8.35E-06,1.68E-06
12,b,special,spatial,0.00017588,9.84E-06
13,b,world,whirled,0.000462761,1.55E-06
14,b,scissors,caesars,3.42E-06,1.71E-07
15,b,lunch,launch,4.11E-05,2.52E-05
16,b,blue,bloom,8.10E-05,4.41E-06
17,b,free,flea,0.000165263,1.44E-06
18,b,feelings,fillings,4.16E-05,1.15E-06
19,b,salvation,salivation,8.80E-06,1.71E-07
20,b,office,orifice,0.000198576,4.31E-07
21,b,bail,braille,8.10E-06,1.03E-06
22,b,spur,sperm,3.79E-06,3.45E-06
23,b,crime,grime,5.57E-05,9.59E-07
24,b,pock,epoch,4.06E-08,1.39E-06
25,b,bones,bonus,1.78E-05,1.11E-05
26,b,habit,hobbit,1.77E-05,4.71E-07
27,b,screening,screaming,1.02E-05,1.09E-05
28,b,Holmes,ohms,8.13E-09,6.18E-07
29,b,can't,kant,4.88E-07,1.91E-06
30,b,temper,tamper,9.72E-06,4.23E-07
31,b,late,latte,0.000157232,8.13E-09
32,b,liable,libel,1.75E-05,6.37E-06
33,b,twist,tryst,9.28E-06,2.28E-07
34,b,profane,propane,6.99E-07,3.98E-07
35,b,leaving,leafing,7.66E-05,4.15E-07
36,b,Lambs,yams,8.13E-09,1.79E-07
37,b,talking,tolkien,0.000103068,3.53E-06
38,b,magnet,magnate,2.57E-06,1.27E-06
39,b,raving,raven,1.41E-06,1.59E-06
40,b,alcohol,alkaline,2.43E-05,2.69E-06
41,b,slave,shave,7.12E-06,2.55E-06
42,b,aching,aiken,3.58E-06,2.68E-07
43,b,irritation,irrigation,5.19E-06,2.22E-06
44,b,ante,auntie,1.32E-06,5.16E-06
45,b,future,fuchsia,0.000179529,4.06E-07
46,b,tell,till,0.00023301,4.30E-05
47,b,how's,house,3.25E-08,0.000395396
48,b,fire,eire,0.000109181,1.29E-06
49,b,help,alp,0.000298051,1.09E-06
50,b,guarding,garden,2.41E-06,8.72E-05
51,b,been,bean,0.002094361,4.21E-06
52,b,order,odor,0.000271477,8.13E-09
53,b,lot,watt,0.000223117,5.20E-06
54,b,best,pest,0.000281825,3.91E-06
55,b,crack,crank,1.41E-05,7.72E-07
56,b,lag,leg,2.66E-06,4.09E-05
57,b,decay,decade,8.29E-06,2.98E-05
58,b,traumatic,dramatic,3.61E-06,3.08E-05
59,b,traumatic,grammatic,3.61E-06,4.06E-08
60,b,hostile,hosta,1.30E-05,1.63E-07
61,b,doubling,dublin,4.03E-06,1.86E-05
62,b,prison,prism,4.94E-05,6.18E-07
63,b,bridge,fridge,5.13E-05,7.28E-06
64,b,chief,thief,8.91E-05,5.80E-06
65,b,resolution,revolution,2.91E-05,3.69E-05
66,b,Pants,plants,8.13E-09,5.80E-05
67,b,insider,incisor,6.45E-06,4.23E-07
68,b,minds,mimes,2.27E-05,1.95E-07
69,b,littering,glittering,3.41E-07,5.01E-06
70,b,attitude,altitude,4.75E-05,3.98E-06
71,b,presents,presence,1.97E-05,6.32E-05
72,b,next,necks,0.000362554,3.32E-06
73,b,destruction,digestion,1.86E-05,3.72E-06
74,b,cream,ream,2.53E-05,8.94E-08
75,b,see,seize,0.000923319,4.63E-06
76,b,offer,author,0.000125992,3.47E-05
77,b,sauce,source,1.10E-05,7.21E-05
78,b,pays,paste,1.18E-05,3.65E-06
79,b,express,espresso,3.90E-05,2.03E-07
80,b,sense,scents,0.000171677,1.62E-06
