sentenceID,sentenceType,m1,word,m1_relatedness,m2_relatedness,m1_trigram,m2_trigram,unigram
1,pun,prophet,prophet,2,0,4.70E-08,0.00125414,8.86E-06
1,pun,prophet,atheism,0.043975327,-0.293007439,4.42E-07,4.42E-07,1.70E-06
1,pun,prophet,non,-0.650018431,0.76452703,5.71E-05,5.71E-05,0.000325928
1,pun,prophet,organization,0.123608176,1.344302809,6.18E-07,3.56E-07,0.000125649
2,pun,pi,pi,2,0,3.71E-07,1.44E-05,2.04E-05
2,pun,pi,circumference,1.110707202,1.192320265,1.69E-08,1.69E-08,1.47E-06
2,pun,pi,get,-0.532050103,-0.213873793,0.00223502,0.00223502,0.001007091
2,pun,pi,large,-0.196874277,0.203214357,8.63E-05,8.63E-05,0.000275652
3,pun,knead,knead,2,0,4.36E-07,0.000150958,3.97E-07
3,pun,knead,bakers,1.643374608,-0.430311199,4.70E-07,4.70E-07,1.84E-06
3,pun,knead,basis,-0.724020559,0.363879125,7.95E-05,7.95E-05,9.96E-05
3,pun,knead,bread,1.618475041,-0.10745158,5.75E-07,5.75E-07,2.26E-05
3,pun,knead,know,-0.664626706,-0.08894483,0.00317724,0.241277,0.000508756
3,pun,knead,recipes,1.004924966,-0.181518542,0.000156,0.000156,5.90E-05
3,pun,knead,trade,-0.58008783,0.499910519,1.89E-06,1.89E-06,0.000182953
4,pun,oar,oar,2,0,8.32E-09,0.00144868,1.51E-06
4,pun,oar,choose,-0.51196844,1.166963655,0.000613834,0.000613834,0.000149589
4,pun,oar,either,-0.745201312,1.802274457,0.000590476,0.000590476,0.000164766
4,pun,oar,indecisive,-0.736316505,0.924511546,1.51E-06,1.51E-06,2.59E-07
4,pun,oar,not,-0.73898887,0.061294261,0.00325545,0.00325545,0.004376542
4,pun,oar,rower,1.833928909,-0.722767904,5.60E-07,5.60E-07,4.11E-07
5,pun,tiers,tiers,2,0,1.39E-05,0.00185052,1.48E-06
5,pun,tiers,cake,0.847840122,-0.733195769,6.15E-05,6.15E-05,2.75E-05
5,pun,tiers,emotional,-0.093719285,1.613409237,0.00259336,0.00259336,2.19E-05
5,pun,tiers,even,-0.21256834,-0.643260403,0.000293954,0.000293954,0.000408336
5,pun,tiers,wedding,0.363679868,1.167013135,9.17E-07,9.17E-07,0.000100977
6,pun,poll,poll,2,0,5.55E-07,0.00167959,3.91E-05
6,pun,poll,conduct,0.79637133,-0.131050615,0.00048967,0.00048967,4.98E-05
6,pun,poll,country,-0.020817463,-0.441639232,0.000791509,0.000791509,0.00031359
6,pun,poll,decided,0.888379398,-0.438823318,0.000173274,0.000173274,5.49E-05
6,pun,poll,flag,0.519522756,1.600043247,6.89E-05,6.89E-05,5.49E-05
6,pun,poll,new,-0.30941208,-0.573021617,0.00191463,0.00191463,0.00257802
7,pun,bored,bored,2,0,1.34E-05,0.000623643,8.51E-06
7,pun,bored,chairman,-0.257766851,1.891566794,2.05E-05,2.05E-05,4.87E-05
7,pun,bored,executive,-0.232066116,1.514850716,5.63E-05,5.63E-05,0.000121343
7,pun,bored,meetings,0.256531919,0.957355228,0.0055089,0.0055089,6.53E-05
8,pun,greece,greece,2,0,6.92E-05,3.97E-07,3.54E-05
8,pun,greece,donuts,-0.497489011,0.661854871,3.17E-08,3.17E-08,2.00E-06
8,pun,greece,know,-0.577456692,-0.669045928,0.541176,0.541176,0.000508756
8,pun,greece,made,-0.564552226,-0.586369571,0.0140678,0.0140678,0.000477562
9,pun,sine,sine,2,0,2.68E-05,0.000534506,2.41E-06
9,pun,sine,above,-0.539975973,-0.011263401,0.000473031,0.000265614,0.000235814
9,pun,sine,hoping,-0.763760078,-0.145123348,0.00357615,0.00357615,1.47E-05
9,pun,sine,prayed,-0.781460533,0.347605059,9.96E-06,9.96E-06,2.49E-06
9,pun,sine,tests,-0.122511114,-0.19480109,9.08E-07,9.08E-07,7.04E-05
9,pun,sine,trigonometry,1.282836716,0.636264574,9.02E-08,9.02E-08,8.45E-07
