word1,word2,relatedness
lion,lion,0.0
line,lion,0.0
circus,lion,1.377983027
circus,line,-0.630542589
lion,truck,-0.657045944
line,truck,-0.412135754
driver,lion,-1.042229239
driver,line,0.006942127
lion,refused,-0.803420041
line,refused,-0.599020207
lion,tow,-0.878076745
line,tow,-0.226590203
tooth,tooth,0.0
tooth,truth,0.0
dentist,tooth,1.62355512
dentist,truth,-0.565572904
tell,tooth,-0.768492084
tell,truth,0.804145346
patient,tooth,0.111725948
patient,truth,-0.432490434
tooth,whole,-0.322992663
truth,whole,0.752346196
cilia,cilia,0.0
cilia,sillier,0.0
cilia,handlebar,-0.820549264
handlebar,sillier,-0.742520611
cilia,mustache,-0.010195246
mustache,sillier,-0.297709011
cilia,look,-0.923160237
look,sillier,-0.675208967
cilia,ridiculous,-0.950474383
ridiculous,sillier,1.151378004
cilia,symmetrical,-0.360338435
sillier,symmetrical,-0.683703022
cilia,eyelashes,-0.040038203
eyelashes,sillier,-0.681557747
cilia,even,-0.929999881
even,sillier,-0.727122625
heir,heir,0.0
hair,heir,0.0
heir,man,0.502701118
hair,man,1.063789627
heir,used,-0.58932926
hair,used,-0.569021165
heir,money,1.381728734
hair,money,-0.374102282
heir,inherited,1.404774565
hair,inherited,-0.190257313
heir,late,0.17890769
hair,late,-0.845278073
father,heir,0.721817788
father,hair,-0.413880798
heir,put,-0.62358598
hair,put,-0.378372875
addition,heir,-0.382613152
addition,hair,-0.450466895
heir,house,-0.575083639
hair,house,-0.768492084
extension,heir,-0.431374827
extension,hair,0.793788593
clothing,clothing,0.0
closing,clothing,0.0
clothing,men's,0.854047774
closing,men's,-0.864343966
clothing,wear,1.273718445
closing,wear,-0.628833021
clothing,store,1.517614712
closing,store,-0.019507567
clothing,opening,-0.389128151
closing,opening,1.277368953
clothing,times,-0.535653622
closing,times,0.429658664
ambiance,ambiance,0.0
ambiance,ambulance,0.0
ambiance,paramedic,-0.892589298
ambulance,paramedic,0.382651093
ambiance,got,-0.57113356
ambulance,got,-0.863688194
ambiance,new,-0.360169455
ambulance,new,-0.906119465
ambiance,job,-0.696788693
ambulance,job,0.562416838
ambiance,chauffeur,-0.314530643
ambulance,chauffeur,-0.390131783
ambiance,driver,-0.543925855
ambulance,driver,0.841903822
perches,perches,0.0
perches,purchase,0.0
perches,pet,0.543119058
pet,purchase,-0.331846317
perches,store,-0.725018344
purchase,store,1.273688022
bird,perches,1.191686169
bird,purchase,-0.501370858
contest,perches,-0.590919012
contest,purchase,-0.562537662
necessary,perches,-0.823158985
necessary,purchase,0.120207237
reword,reword,0.0
reward,reword,0.0
pun,reword,-0.071790798
pun,reward,-0.787863724
math,math,0.0
mass,math,0.0
math,rubber,-0.748391508
mass,rubber,-0.582838844
band,math,-0.876819151
band,mass,-0.749418744
math,pistol,-0.820549264
mass,pistol,-0.736901481
confiscated,math,-0.577110797
confiscated,mass,-0.812923943
algebra,math,1.85746101
algebra,mass,-0.518226951
class,math,1.118197093
class,mass,-0.250535633
math,weapon,-0.317952911
mass,weapon,0.460125844
disruption,math,-0.861675739
disruption,mass,0.20398117
stealer,stealer,0.0
stealer,steeler,0.0
stealer,thief,1.548432432
steeler,thief,0.538072559
stealer,stole,1.694467811
steeler,stole,0.789595372
cutlery,stealer,-0.608574651
cutlery,steeler,-0.228020166
leaving,stealer,-0.696696471
leaving,steeler,-0.827171198
clue,stealer,-0.367417642
clue,steeler,-0.296696232
called,stealer,-0.73993729
called,steeler,-0.835115108
stainless,stealer,-0.72768653
stainless,steeler,-0.09379566
wicker,wicker,0.0
wicked,wicker,0.0
getting,wicker,-0.802963762
getting,wicked,-0.791296213
pranked,wicker,-0.945886353
pranked,wicked,0.291268252
friends,wicker,-0.929679135
friends,wicked,-0.555701691
hit,wicker,-0.818366589
hit,wicked,0.114935389
basket,wicker,1.40920629
basket,wicked,-0.680156607
aron,wicker,-0.878076745
aron,wicked,-0.754020104
knew,wicker,-0.853144038
knew,wicked,-0.869254404
sense,wicker,-0.674633301
sense,wicked,-0.379664444
humor,wicker,-0.696201398
humor,wicked,0.643750513
spatial,spatial,0.0
spatial,special,0.0
aliens,spatial,-0.331103175
aliens,special,-0.179464204
lovable,spatial,-0.587589366
lovable,special,0.657898682
whirled,whirled,0.0
whirled,world,0.0
astronaut,whirled,-0.177755161
astronaut,world,1.200440109
gets,whirled,-0.753138191
gets,world,-0.625352039
take,whirled,-0.7778778
take,world,-0.602837689
turn,whirled,1.733512144
turn,world,0.32137873
traveler,whirled,-0.69952321
traveler,world,1.104669659
caesars,caesars,0.0
caesars,scissors,0.0
caesars,young,-0.130802016
scissors,young,-0.574533178
boy,caesars,-0.347430465
boy,scissors,-0.205619209
brutus',caesars,1.099729391
brutus',scissors,-0.870360782
caesars,mother,-0.768492084
mother,scissors,-0.804208035
caesars,cautioned,-0.903392247
cautioned,scissors,1.588185734
caesars,not,-0.787256892
not,scissors,-1.094772876
caesars,run,-0.820549264
run,scissors,0.124706242
launch,launch,0.0
launch,lunch,0.0
astronauts,launch,1.866736686
astronauts,lunch,-0.695418569
launch,like,-0.825180387
like,lunch,-0.335230617
bloom,bloom,0.0
bloom,blue,0.0
bloom,flower,1.436927181
blue,flower,0.682043181
bloom,show,0.640303692
blue,show,-0.593808778
bloom,prize,-0.481246649
blue,prize,-0.274261135
bloom,ribbon,-0.507494658
blue,ribbon,0.79998026
flea,flea,0.0
flea,free,0.0
flea,pet,1.178779019
free,pet,-0.392441284
flea,store,-0.30782313
free,store,-0.05921709
buy,flea,-0.402777604
buy,free,0.044471953
dog,flea,0.892434215
dog,free,-0.450559247
flea,get,-0.789078325
free,get,0.351543999
fillings,fillings,0.0
feelings,fillings,0.0
fillings,kind,-0.741261606
feelings,kind,0.760959289
dentist,fillings,1.696305434
dentist,feelings,-0.227316991
salivation,salivation,0.0
salivation,salvation,0.0
bell,salivation,0.318681874
bell,salvation,-0.358648754
bark,salivation,-0.603036147
bark,salvation,-0.518201998
kennel,salivation,-0.12174292
kennel,salvation,-0.852195938
novel,salivation,-0.9744652
novel,salvation,-0.463107148
ivan,salivation,-0.890851734
