word,unigram
lion,9.62e-06
line,0.000191121
tooth,5.14e-06
truth,6.39e-05
cilia,2.93e-07
sillier,1.14e-07
heir,7.75e-06
hair,0.000109799
clothing,1.72e-05
closing,2.1e-05
ambiance,9.75e-08
ambulance,1.32e-05
perches,3.33e-07
purchase,3.52e-05
reword,1.63e-08
reward,1.57e-05
math,2.6e-07
mass,5.72e-05
stealer,2.52e-07
steeler,8.13e-09
wicker,1.68e-06
wicked,8.35e-06
spatial,9.84e-06
special,0.00017588
whirled,1.55e-06
world,0.000462761
caesars,1.71e-07
scissors,3.42e-06
launch,2.52e-05
lunch,4.11e-05
bloom,4.41e-06
blue,8.1e-05
flea,1.44e-06
free,0.000165263
fillings,1.15e-06
feelings,4.16e-05
salivation,1.71e-07
salvation,8.8e-06
orifice,4.31e-07
office,0.000198576
braille,1.03e-06
bail,8.1e-06
sperm,3.45e-06
spur,3.79e-06
grime,9.59e-07
crime,5.57e-05
epoch,1.39e-06
pock,4.06e-08
bonus,1.11e-05
bones,1.78e-05
hobbit,4.71e-07
habit,1.77e-05
screaming,1.09e-05
screening,1.02e-05
ohms,6.18e-07
holmes,8.13e-09
kant,1.91e-06
can't,4.88e-07
tamper,4.23e-07
temper,9.72e-06
latte,8.13e-09
late,0.000157232
libel,6.37e-06
liable,1.75e-05
tryst,2.28e-07
twist,9.28e-06
propane,3.98e-07
profane,6.99e-07
leafing,4.15e-07
leaving,7.66e-05
yams,1.79e-07
lambs,8.13e-09
tolkien,3.53e-06
talking,0.000103068
magnate,1.27e-06
magnet,2.57e-06
raven,1.59e-06
raving,1.41e-06
alkaline,2.69e-06
alcohol,2.43e-05
shave,2.55e-06
slave,7.12e-06
aiken,2.68e-07
aching,3.58e-06
irrigation,2.22e-06
irritation,5.19e-06
auntie,5.16e-06
ante,1.32e-06
fuchsia,4.06e-07
future,0.000179529
till,4.3e-05
tell,0.00023301
house,0.000395396
how's,3.25e-08
eire,1.29e-06
fire,0.000109181
alp,1.09e-06
help,0.000298051
garden,8.72e-05
guarding,2.41e-06
bean,4.21e-06
been,0.002094361
odor,8.13e-09
order,0.000271477
watt,5.2e-06
lot,0.000223117
pest,3.91e-06
best,0.000281825
crank,7.72e-07
crack,1.41e-05
leg,4.09e-05
lag,2.66e-06
decade,2.98e-05
decay,8.29e-06
dramatic,3.08e-05
traumatic,3.61e-06
grammatic,4.06e-08
hosta,1.63e-07
hostile,1.3e-05
dublin,1.86e-05
doubling,4.03e-06
prism,6.18e-07
prison,4.94e-05
fridge,7.28e-06
bridge,5.13e-05
thief,5.8e-06
chief,8.91e-05
revolution,3.69e-05
resolution,2.91e-05
plants,5.8e-05
pants,8.13e-09
incisor,4.23e-07
insider,6.45e-06
mimes,1.95e-07
minds,2.27e-05
glittering,5.01e-06
littering,3.41e-07
altitude,3.98e-06
attitude,4.75e-05
presence,6.32e-05
presents,1.97e-05
necks,3.32e-06
next,0.000362554
digestion,3.72e-06
destruction,1.86e-05
ream,8.94e-08
cream,2.53e-05
seize,4.63e-06
see,0.000923319
author,3.47e-05
offer,0.000125992
