idx,sentenceID,punType,sentenceType,ambiguity,distinctiveness,sentence
0,198,identical,nonpun,1.579926805907507e-10,7.729861446544134,"We #allowed our son to use the family car."
1,133,identical,nonpun,1.018378638815445e-11,8.178803844993832,"The student read her poem #aloud in class."
2,219,identical,nonpun,8.869262133009442e-14,7.529519947268518,"I will #be okay; don't worry."
3,49,identical,pun,0.6930107735849518,8.993464699800969,"You don't want to #bee around a hive for too long."
4,112,identical,nonpun,1.8708160631715004e-09,8.147594982964216,"The old man is alone all the time and is #bored to tears."
5,136,identical,nonpun,6.269433341904748e-08,8.46750237932983,"#Cached copies of the web pages are stored in the database."
6,193,identical,nonpun,1.0649351514083308e-06,9.02305651600918,"The #caller on the phone is from your bank."
7,201,identical,nonpun,3.715897931750598e-08,9.743658052114586,"She bought stocks for ten years and then #cashed in her chips."
8,116,identical,nonpun,3.3212015852747066e-13,9.304462677562233,"I bought a new #CD today in classical music."
9,11,identical,pun,1.4639403877143219e-08,8.850927887024103,"Some music stores are in a #CD part of town."
10,216,identical,nonpun,1.0952278357519337e-07,8.318509223640246,"He is so stingy that he would not even let me borrow a #cent."
11,217,identical,nonpun,3.665537253313437e-07,7.712896210709705,"You have very #coarse hair."
12,128,identical,nonpun,3.6620364317900005e-07,8.938275247577597,"He puts a #collar on his dog before walking it."
13,152,identical,nonpun,9.473169784256834e-10,8.483205519881945,"I took a #course in school."
14,190,identical,nonpun,6.526213930389424e-09,7.613488855127161,"I do not give a #damn what you say."
15,187,identical,nonpun,7.404969821879068e-15,9.485071686040108,"There are seven #days in a week."
16,218,identical,nonpun,7.794956896291826e-13,8.276001330729862,"You're such a #dear friend."
17,153,identical,nonpun,0.0029082232188889735,8.41803535917844,"There are #deer in the forest."
18,195,identical,nonpun,2.6461709477820444e-10,9.180339246870123,"He is very scared that he will #die of a heart attack. "
19,206,identical,nonpun,1.8798641227507034e-07,7.518234954700535,"It is better to #err on the side of being too safe."
20,44,identical,pun,0.44388913771511407,9.61159656020823,"I'm blind so #eye can't see."
21,149,identical,nonpun,1.5124419409344724e-05,8.318914515333093,"I was poked in the #eye."
22,222,identical,nonpun,2.1723632886511128e-07,8.593361053785816,"The rules of this game are not #fair."
23,157,identical,nonpun,4.79512404385369e-05,7.8182290997149835,"The #fare had to be paid."
24,197,identical,nonpun,1.5908001568983922e-06,7.538749360171356,"Passing that exam without studying was a real #feat!"
25,132,identical,nonpun,6.437927886415654e-11,8.839346453665353,"These new shoes are hurting my #feet."
26,221,identical,nonpun,3.593844399591105e-13,10.584025985536002,"I picked some pretty #flowers that were growing among weeds."
27,148,identical,nonpun,1.3704505027402073e-07,9.36844502400058,"A #grader was hired to score all of the tests."
28,178,identical,nonpun,0.006509161219787295,7.77197948824569,"There was too much #grease on the plate."
29,113,identical,nonpun,3.412850440050165e-09,9.519339670945314,"#Greece is a country in the the southern portion of Europe."
30,205,identical,nonpun,1.1618786025532975e-11,9.268088904425202,"A jury decides the #guilt or innocence of an accused person."
31,182,identical,nonpun,1.5810048421040024e-10,9.382461774028016,"Most people have lots of #hair on their heads."
32,117,identical,nonpun,2.0177879901098648e-05,8.252808753107274,"The #hare ran rapidly through the fields."
33,223,identical,nonpun,1.51625537604382e-11,8.699433056341643,"It just takes time for wounds to #heal."
34,141,identical,nonpun,8.64252734362136e-09,9.283947554193924,"Prince William is #heir to the british throne."
35,21,identical,pun,0.0009991153987560304,8.116434343909246,"My computer is so slow it #hertz."
36,126,identical,nonpun,1.6046331231754116e-07,9.027683279727961,"This computer has a processing speed of thirty-three mega #hertz."
37,121,identical,nonpun,3.3555033922788482e-06,8.592670235693213,"He waved at me to say #hi."
38,186,identical,nonpun,3.4622917318376183e-12,8.182283966471934,"The statue is ten feet #high."
39,224,identical,nonpun,1.7191707800230072e-14,7.587161275735127,"John likes Sarah but she doesn't like #him back."
40,191,identical,nonpun,2.03496910398481e-10,8.562975374599564,"I fell and now my leg #hurts."
41,214,identical,nonpun,4.471712099667763e-11,7.631165361483313,"#I don't know the answer."
42,227,identical,nonpun,3.301905435622254e-09,8.095160194984267,"You're just sitting there doing nothing; don't be #idle."
43,162,identical,nonpun,3.14217853222635e-07,9.51326962233915,"That famous movie star is my #idol."
44,41,identical,pun,0.03647512165288102,11.146639288745392,"Boyscouts know which ropes to tie and what #knot.  "
45,146,identical,nonpun,2.3757636187936803e-05,9.500110699365322,"It's easy to tie a double #knot."
46,118,identical,nonpun,0.0018720792545197816,7.633118499497001,"That cabin is made of #knotty pine."
47,228,identical,nonpun,7.094871571761055e-12,7.938828714027487,"You #made that cake all by yourself?"
48,163,identical,nonpun,0.0029854043524826764,8.41118412576351,"I hired a #maid to clean."
49,185,identical,nonpun,5.424290616922616e-12,8.72958456877928,"She got high #marks in high school."
50,231,identical,nonpun,2.0402778778487838e-10,8.300856347360925,"The two pen pals were finally able to #meet."
51,230,identical,nonpun,1.537038482456624e-11,9.781159140774948,"I woke up in the #morning and the sun was shining."
52,165,identical,nonpun,7.236681003617466e-08,8.874298655598855,"We were in #mourning after our loved one died."
53,183,identical,nonpun,1.1256887442459873e-13,7.896086745262063,"That boy is a #naughty child."
54,173,identical,nonpun,3.393102067304447e-11,7.7064502186635,"The company has a #need for computer programmers."
55,229,identical,nonpun,1.3360516701262287e-08,7.571711482616256,"#None of it made any sense."
56,211,identical,nonpun,7.90124367870688e-14,7.52067699781333,"Let's do this at but #not that."
57,59,identical,pun,0.0003450039175104371,8.775254748260583,"When the new church opened #nun of us cared."
58,164,identical,nonpun,1.8912019667099893e-05,8.41288230922369,"The #nun was very pious and kind."
59,109,identical,nonpun,0.006890783289572056,9.907195891724609,"The fisherman dipped the #oar in the river."
60,174,identical,nonpun,6.2113480978516444e-15,7.502755596111467,"Take care of your car #or else you will have problems."
61,29,identical,pun,2.9276575223796986e-05,8.260693780953897,"Those who carry too many buckets start feeling #pail."
62,233,identical,nonpun,3.199005353415616e-11,9.883627539543317,"I have a #pair of matching socks."
63,168,identical,nonpun,0.00010068850732742934,8.625350684916608,"She ate a #pear and two apples."
64,63,identical,pun,6.041018539115909e-05,8.881775592083896,"If I were brave enough to be a fruit farmer I would grow a #pear."
65,107,identical,nonpun,2.885257323563248e-08,9.615083161177422,"He can recite the number #pi up to ten decimal places."
66,172,identical,nonpun,9.782512862462407e-12,9.756781984801718,"Would you like some apple #pie for dessert?"
67,189,identical,nonpun,2.892163652769276e-06,7.700745166982415,"She felt #plain next to her beautiful sister."
68,124,identical,nonpun,1.1105006411709946e-11,9.175858200436082,"Our #plane landed at the airport."
69,204,identical,nonpun,4.35654286876598e-13,8.464919340979026,"That family is so #poor they cannot afford to buy food."
70,169,identical,nonpun,1.1289198764144891e-07,8.762296768252021,"It is customary for Christians to #pray before bed."
71,171,identical,nonpun,1.95768649534906e-09,10.855041819837641,"That business made one million dollars in #profit last year."
72,188,identical,nonpun,2.147743761861128e-11,8.592047631788681,"What are the #pros and cons of social networking sites?"
73,123,identical,nonpun,3.4798367622073764e-09,9.453809810192,"Novels and essays are written in #prose."
74,210,identical,nonpun,1.4888770233191782e-10,8.325840820685551,"That girl organized a fund #raiser at her local church."
75,145,identical,nonpun,2.783651426176566e-10,10.034371840545424,"He used a #razor to shave his beard."
76,232,identical,nonpun,2.530032768000993e-12,9.09575631154694,"That diamond is not #real; it is just a very good counterfeit. "
77,167,identical,nonpun,0.011186789353956348,8.446155916111326,"You need to #reel in the fish."
78,137,identical,nonpun,1.191014146564204e-10,9.625507539624397,"The king's #reign ended and his heir took over."
79,170,identical,nonpun,1.583968549230441e-10,8.409797879830524,"He tripped over a tree's #root."
80,235,identical,nonpun,1.848020161210217e-07,9.116481957668892,"Take the faster #route on your way home."
81,151,identical,nonpun,1.7341447572014845e-08,7.886197850661907,"That #scent is unpleasant."
82,208,identical,nonpun,1.3829641934131472e-12,10.109036397573677,"The ship is in the mid-atlantic on the high #seas."
83,181,identical,nonpun,7.747664897451601e-06,8.403804041423971,"The #seedy bar was full of drunken and unwashed people."
84,215,identical,nonpun,8.410427608613688e-10,8.843161739691222,"I must #sell my car for a good price."
85,179,identical,nonpun,1.884310610804032e-10,9.13395656000625,"The #sign on our store says the clothes boutique."
86,37,identical,pun,0.00013564948397432614,8.751168342089287,"When their boy was little they only got rest after #son down."
87,142,identical,nonpun,2.810282463942041e-07,8.71187323944839,"They have a #son and a daughter."
88,24,identical,pun,0.051475202774858356,8.63024468108301,"Thieves have muscles of #steal."
89,129,identical,nonpun,1.3792247073133023e-05,7.999455211550883,"The little boy wanted to #steal his friend's candy but decided not to."
90,194,identical,nonpun,1.9550467164410435e-09,8.048409203697217,"That ship is made of wood and #steel."
91,207,identical,nonpun,4.089320795345728e-10,10.807444818572987,"The #sun rises every morning and sets every evening."
92,184,identical,nonpun,2.4744720779024778e-15,9.714836900681519,"She #taught mathematics to college students."
93,119,identical,nonpun,2.96338582703581e-06,8.042886528606214,"The clothesline hangs #taut between two poles."
94,175,identical,nonpun,1.1422014206177562e-15,9.858766329088057,"#Tears ran down her cheeks as she watched a sad movie."
95,110,identical,nonpun,0.000417248673197259,8.664912912512037,"Boxes are stacked in #tiers in the warehouse."
96,203,identical,nonpun,2.072777409652087e-13,8.521285048523522,"We have #time to have lunch before the meeting."
97,131,identical,nonpun,1.9135290495347008e-09,9.0690194451732,"She must have a small #waist; look how tiny her belt is!"
98,196,identical,nonpun,2.3247485546999397e-11,7.859998906544078,"Dealing with him is a #waste of time."
99,144,identical,nonpun,1.3544639480086354e-07,11.090085332075542,"My desk lamp uses a sixty #watt light bulb."
100,209,identical,nonpun,1.9557604761365068e-11,7.575556627443187,"The teacher told the students #what to do."
101,147,identical,nonpun,8.3289574951349e-05,8.990044979500771,"We get our #wood from trees."
102,212,identical,nonpun,5.68782398346005e-15,8.036891646921674,"Her father #would not let her go to the party."
103,282,near,nonpun,0.00027819725498648315,7.980937557966842,"My back is aching from too much sitting."
104,209,near,nonpun,0.17381632580689982,8.145038847345521,"An alp is a very high mountain."
105,166,near,nonpun,0.049446024837215,9.214649033330067,"The ambiance in that hotel is one of warmth and charm."
106,246,near,nonpun,1.4860351840304502e-13,9.075560456233001,"An ambulance came to the car accident in two minutes."
107,284,near,nonpun,5.986130462820643e-07,8.886663816553156,"We made an offer to buy a house, but the owner upped the ante."
108,310,near,nonpun,3.1010726683731136e-09,7.8707890521336275,"She has a good attitude toward work"
109,204,near,nonpun,6.872290124527782e-09,8.446243140431612,"My Auntie Betty is my mother's sister."
